URL,ANFITRION,PERMISO
https://www.airbnb.es/rooms/1251453469620859786?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1729017934_P3ciRop3TT-QdZLH&previous_page_section_name=1000,Renato,VFT/GR/07658
https://www.airbnb.es/rooms/975110970231305359?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-20&check_out=2024-10-25&source_impression_id=p3_1729017934_P3r2MakLuEh-eaST&previous_page_section_name=1000,Numa Vega,A/GR/00362
https://www.airbnb.es/rooms/1249240440435009837?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1729017934_P3VJOixLnLSUTjEt&previous_page_section_name=1000,Linlin,VUT/GR/12000
https://www.airbnb.es/rooms/45984365?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1084902540&search_mode=regular_search&check_in=2024-11-26&check_out=2024-12-01&source_impression_id=p3_1729017934_P3nVKUzT4xlrG5ZA&previous_page_section_name=1000,Linlin,VFT/GR/07559
https://www.airbnb.es/rooms/13557743?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-15&check_out=2024-10-20&source_impression_id=p3_1729017934_P3XgeI8Myxl01OU8&previous_page_section_name=1000,Atenas,
https://www.airbnb.es/rooms/1247580046847588403?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-15&check_out=2024-10-20&source_impression_id=p3_1729017934_P3QPu0Ekbvh0Y3Fx&previous_page_section_name=1000,Mar�a Dolores,VTAR/GR/03042
https://www.airbnb.es/rooms/881633054381169195?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-15&check_out=2024-10-20&source_impression_id=p3_1729017934_P3Rs7hR2nvudS74F&previous_page_section_name=1000,Guillermo,VFT/GR/08239
https://www.airbnb.es/rooms/1257248171868195795?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-19&check_out=2024-11-24&source_impression_id=p3_1729017934_P3XaDPsiLMlNnt1d&previous_page_section_name=1000,Miguel Angel,VUT/GR/11164
https://www.airbnb.es/rooms/45503401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-20&check_out=2024-10-25&source_impression_id=p3_1729017934_P3ibGnSqbwsLOHZ2&previous_page_section_name=1000,Juan,H/GR/00973
https://www.airbnb.es/rooms/1208104095764674175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-20&check_out=2024-10-25&source_impression_id=p3_1729017934_P36DMLYk22ghWw0Q&previous_page_section_name=1000,Rafael,VUT/GR/11731
https://www.airbnb.es/rooms/1259247674581348613?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-20&check_out=2024-10-25&source_impression_id=p3_1729017934_P3t2iDZ8FjqptsfC&previous_page_section_name=1000,Carmen,VUT/GR/12189
https://www.airbnb.es/rooms/1239601254962327707?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1729017934_P3QeO3jTsrp7y1v9&previous_page_section_name=1000,Francisco Javier,VFT/GR/08758
https://www.airbnb.es/rooms/572281727450730591?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-15&check_out=2024-10-20&source_impression_id=p3_1729017934_P3hAjEwzcyRf59BC&previous_page_section_name=1000,Andrea,H/GR/01495
